primaryAC,up_regulated
A0AVT1,0
A0FGR8,0
A0MZ66,0
A1L0T0,0
A5YKK6,0
A6NHL2,0
A6NHR9,0
A8K2U0,0
O00116,0
O00151,0
O00154,0
O00159,0
O00160,0
O00170,0
O00178,0
O00186,0
O00194,0
O00203,0
O00231,0
O00232,0
O00233,0
O00264,0
O00267,0
O00291,0
O00299,0
O00303,0
O00391,0
O00410,0
O00429,0
O00443,0
O00468,0
O00469,0
O00471,0
O00483,0
O00560,0
O00571,0
O00592,0
O00625,0
O00754,0
O00764,0
O14529,0
O14579,1
O14617,0
O14618,0
O14735,0
O14737,0
O14744,0
O14745,0
O14773,0
O14776,0
O14787,0
O14818,0
O14828,0
O14880,0
O14896,0
O14908,0
O14920,0
O14929,0
O14936,0
O14964,0
O14979,0
O14980,0
O14981,0
O15020,0
O15066,0
O15067,0
O15084,0
O15117,0
O15118,0
O15127,0
O15143,0
O15144,0
O15145,0
O15173,1
O15212,0
O15247,0
O15258,0
O15270,0
O15294,0
O15305,0
O15355,0
O15371,0
O15372,0
O15400,0
O15460,0
O15498,0
O15511,0
O15540,1
O43143,0
O43172,0
O43175,0
O43237,0
O43242,0
O43252,0
O43264,0
O43290,0
O43324,0
O43390,0
O43396,0
O43399,1
O43432,0
O43488,0
O43491,1
O43592,0
O43598,0
O43615,0
O43617,0
O43678,0
O43681,0
O43684,0
O43707,0
O43719,0
O43747,0
O43760,0
O43765,0
O43776,0
O43795,0
O43809,0
O43847,0
O43852,1
O43924,0
O60231,0
O60264,0
O60271,0
O60282,0
O60306,0
O60308,0
O60313,0
O60341,0
O60343,0
O60437,0
O60486,0
O60488,0
O60493,0
O60502,0
O60506,0
O60524,0
O60547,0
O60568,0
O60610,0
O60645,0
O60664,0
O60701,0
O60749,0
O60762,0
O60763,0
O60784,0
O60812,0
O60826,0
O60841,1
O60884,0
O75027,0
O75044,0
O75083,0
O75116,1
O75131,0
O75150,0
O75153,0
O75165,0
O75223,0
O75323,0
O75340,0
O75347,0
O75348,0
O75351,0
O75368,0
O75369,0
O75390,0
O75439,0
O75487,0
O75489,0
O75533,0
O75534,0
O75569,0
O75592,0
O75608,0
O75643,0
O75694,0
O75746,0
O75828,0
O75874,0
O75915,0
O75937,0
O75947,1
O75955,0
O75964,0
O76003,0
O76041,0
O76094,0
O94760,0
O94776,0
O94804,0
O94822,0
O94832,0
O94855,0
O94874,0
O94903,0
O94919,0
O94925,0
O94973,0
O94979,0
O95163,0
O95202,0
O95292,0
O95295,0
O95302,0
O95336,0
O95340,0
O95347,0
O95352,0
O95373,0
O95394,0
O95433,0
O95456,0
O95479,0
O95486,0
O95573,1
O95716,0
O95747,0
O95757,0
O95782,0
O95786,0
O95793,0
O95831,0
O95861,0
O95865,0
O95881,0
O95989,0
O95994,0
O96008,0
O96011,0
O96019,0
P00167,0
P00338,1
P00352,1
P00367,0
P00387,0
P00390,0
P00441,0
P00491,0
P00492,0
P00505,0
P00533,0
P00558,0
P00568,0
P00734,0
P00736,0
P00739,0
P00751,0
P00915,0
P00918,0
P00966,0
P01008,0
P01009,0
P01011,0
P01019,0
P01023,0
P01024,0
P01031,0
P01034,0
P01042,0
P01591,0
P01833,0
P01889,0
P01903,0
P01909,0
P01912,0
P02144,0
P02452,0
P02461,0
P02533,0
P02545,0
P02647,0
P02649,0
P02671,0
P02675,0
P02679,0
P02746,1
P02751,0
P02766,0
P02768,0
P02774,0
P02786,1
P02787,0
P02788,0
P02792,1
P02794,0
P03956,0
P04004,0
P04040,0
P04066,0
P04075,0
P04083,1
P04114,0
P04179,1
P04181,0
P04196,0
P04216,0
P04217,0
P04259,0
P04350,0
P04406,0
P04632,0
P04843,0
P04844,1
P04899,0
P04908,0
P05023,0
P05067,0
P05091,0
P05107,0
P05109,1
P05141,0
P05155,0
P05161,0
P05164,0
P05186,0
P05198,0
P05362,0
P05387,0
P05388,0
